G     1       8        21
G     1     10        20
G     1     12     21.5
G     1     14     23.0
G     2       8     21.0
G     2     10     21.5
G     2     12     24.0
G     2     14     25.5
G     3       8     20.5
G     3     10     24.0
G     3     12     24.5
G     3     14     26.0
G     4       8     23.5
G     4     10     24.5
G     4     12     25.0
G     4     14     26.5
G     5       8     21.5
G     5     10     23.0
G     5     12     22.5
G     5     14     23.5
G     6       8     20.0
G     6     10     21.0
G     6     12     21.0 
G     6     14     22.5
G     7       8     21.5
G     7     10     22.5
G     7     12     23.0
G     7     14     25.0
G     8       8     23.0
G     8     10     23.0
G     8     12     23.5
G     8     14     24.0
G     9       8     20.0
G     9     10     21.0 
G     9     12     22.0
G     9     14     21.
G     10       8     16.5
G     10     10     19.0
G     10     12     19.0
G     10     14     19.5
G     11       8     24.5
G     11     10     25.0
G     11     12     28.0
G     11     14     28.0
B       1       8     26.0
B       1     10     25.0
B       1     12     29.0
B       1     14     31.0
B       2       8     21.5
B       2     10     22.5
B       2     12     23.0
B       2     14     26.5
B       3       8     23.0
B       3     10     22.5
B       3     12     24.0
B       3     14     27.5
B       4       8     25.5
B       4     10     27.5
B       4     12     26.5
B       4     14     27.0
B       5       8     20.0 
B       5     10     23.5
B       5     12     22.5
B       5     14     26.0
B       6       8     24.5
B       6     10     25.5
B       6     12     27.0
B       6     14     28.5
B       7       8     22.0
B       7     10     22.0
B       7     12     24.5
B       7     14     26.
B       8       8     24.0
B       8     10     21.5
B       8     12     24.5
B       8     14     25.5
B       9       8     23.0
B       9     10     20.5
B       9     12     31.0
B       9     14     26.0
B     10       8     27.5 
B     10     10     28.0
B     10     12     31.0
B     10     14     31.5
B     11       8     23.0
B     11     10     23.0
B     11     12     23.5
B     11     14     25.0
B     12       8     21.5
B     12     10     23.5
B     12     12     24.0
B     12     14     28.0
B     13       8     17.0
B     13     10     24.5
B     13     12     26.0
B     13     14     29.5
B     14       8     22.5
B     14     10     25.5
B     14     12     25.5
B     14     14     26.0
B     15       8     23.0
B     15     10     24.5
B     15     12     26.0
B     15     14     30.0
B     16       8     22.0
B     16     10     21.5
B     16     12     23.5
B     16     14     25.0
